"Date","Price","Open","High","Low","Change %"
"11/30/2021","9.12","9.14","9.14","9.12","0.11%"
"11/29/2021","9.11","9.09","9.11","9.09","-0.76%"
"11/26/2021","9.18","9.11","9.18","9.11","0.77%"
"11/25/2021","9.11","9.13","9.13","9.11","0.00%"
"11/24/2021","9.11","9.13","9.13","9.11","-0.11%"
"11/23/2021","9.12","9.11","9.12","9.11","0.44%"
"11/22/2021","9.08","9.10","9.10","9.08","-0.33%"
"11/19/2021","9.11","9.11","9.11","9.11","-0.11%"
"11/18/2021","9.12","9.11","9.12","9.11","0.00%"
"11/17/2021","9.12","9.11","9.12","9.11","0.11%"
"11/16/2021","9.11","9.11","9.11","9.11","0.00%"
"11/15/2021","9.11","9.11","9.11","9.11","0.11%"
"11/12/2021","9.10","9.10","9.10","9.10","-2.78%"
"11/11/2021","9.36","9.11","9.36","9.11","0.21%"
"11/10/2021","9.34","9.11","9.34","9.11","-0.21%"
"11/09/2021","9.36","9.13","9.36","9.13","0.11%"
"11/08/2021","9.35","9.10","9.35","9.10","-0.11%"
"11/05/2021","9.36","9.10","9.36","9.10","0.00%"
"11/04/2021","9.36","9.10","9.36","9.10","-2.50%"
"11/03/2021","9.60","9.11","9.60","9.11","-0.10%"
"11/02/2021","9.61","9.12","9.61","9.12","0.10%"
"11/01/2021","9.60","9.10","9.60","9.10","-0.10%"
"10/29/2021","9.61","9.11","9.61","9.11","0.10%"
"10/28/2021","9.60","9.09","9.60","9.09","0.00%"
"10/27/2021","9.60","9.10","9.60","9.10","0.00%"
"10/26/2021","9.60","9.10","9.60","9.10","0.00%"
"10/25/2021","9.60","9.10","9.60","9.10","-0.10%"
"10/22/2021","9.61","9.10","9.61","9.10","0.10%"
"10/21/2021","9.60","9.10","9.60","9.10","-0.10%"
"10/20/2021","9.61","9.10","9.61","9.10","0.00%"
"10/19/2021","9.61","9.11","9.61","9.11","0.10%"
"10/18/2021","9.60","9.09","9.60","9.09","0.10%"
"10/15/2021","9.59","9.10","9.59","9.10","-0.10%"
"10/14/2021","9.60","9.10","9.60","9.10","0.10%"
"10/13/2021","9.59","9.10","9.59","9.10","0.00%"
"10/12/2021","9.59","9.09","9.59","9.09","0.00%"
"10/11/2021","9.59","9.09","9.59","9.09","-0.10%"
"10/08/2021","9.60","9.10","9.60","9.10","0.00%"
"10/07/2021","9.60","9.10","9.60","9.10","0.00%"
"10/06/2021","9.60","9.10","9.60","9.10","2.67%"
"10/05/2021","9.35","9.10","9.35","9.10","0.00%"
"10/04/2021","9.35","9.11","9.35","9.11","-0.11%"
"10/01/2021","9.36","9.11","9.36","9.11","0.11%"
"09/30/2021","9.35","9.11","9.35","9.11","0.00%"
"09/29/2021","9.35","9.11","9.35","9.11","0.00%"
"09/28/2021","9.35","9.10","9.35","9.10","0.00%"
"09/27/2021","9.35","9.10","9.35","9.10","-5.08%"
"09/24/2021","9.85","10.10","10.10","9.85","0.10%"
"09/23/2021","9.84","10.09","10.09","9.84","-0.10%"
"09/22/2021","9.85","10.10","10.10","9.85","-7.08%"
"09/21/2021","10.60","11.10","11.10","10.60","-0.09%"
"09/20/2021","10.61","11.10","11.10","10.61","5.26%"
"09/17/2021","10.08","10.09","10.09","10.08","0.00%"
"09/16/2021","10.08","10.08","10.08","10.08","0.00%"
"09/15/2021","10.08","10.09","10.09","10.08","-0.10%"
"09/14/2021","10.09","10.08","10.09","10.08","0.00%"
"09/13/2021","10.09","10.09","10.09","10.09","0.10%"
"09/10/2021","10.08","10.58","10.58","10.08","-2.51%"
"09/09/2021","10.34","10.58","10.58","10.34","0.00%"
"09/08/2021","10.34","10.58","10.58","10.34","0.10%"
"09/07/2021","10.33","10.58","10.58","10.33","0.00%"
"09/06/2021","10.33","10.58","10.58","10.33","0.00%"
"09/03/2021","10.33","10.58","10.58","10.33","0.00%"
"09/02/2021","10.33","10.58","10.58","10.33","0.00%"
"09/01/2021","10.33","10.58","10.58","10.33","0.00%"
"08/31/2021","10.33","10.59","10.59","10.33","-0.10%"
"08/30/2021","10.34","10.59","10.59","10.34","0.00%"
"08/27/2021","10.34","10.59","10.59","10.34","0.00%"
"08/26/2021","10.34","10.59","10.59","10.34","0.10%"
"08/25/2021","10.33","10.58","10.58","10.33","0.00%"
"08/24/2021","10.33","10.58","10.58","10.33","-0.10%"
"08/23/2021","10.34","10.58","10.58","10.34","0.00%"
"08/20/2021","10.34","10.59","10.59","10.34","0.00%"
"08/19/2021","10.34","10.59","10.59","10.34","0.00%"
"08/18/2021","10.34","10.58","10.58","10.34","0.00%"
"08/17/2021","10.34","10.58","10.58","10.34","0.00%"
"08/16/2021","10.34","10.59","10.59","10.34","0.00%"
"08/13/2021","10.34","10.59","10.59","10.34","0.10%"
"08/12/2021","10.33","10.34","10.34","10.33","-0.10%"
"08/11/2021","10.34","10.58","10.58","10.34","0.00%"
"08/10/2021","10.34","10.59","10.59","10.34","0.10%"
"08/09/2021","10.33","10.58","10.58","10.33","0.00%"
"08/06/2021","10.33","10.58","10.58","10.33","0.00%"
"08/05/2021","10.33","10.58","10.58","10.33","0.00%"
"08/04/2021","10.33","10.08","10.33","10.08","2.38%"
"08/03/2021","10.09","10.09","10.09","10.09","0.00%"
"08/02/2021","10.09","10.09","10.09","10.09","0.00%"
"07/30/2021","10.09","10.09","10.09","10.09","0.10%"
"07/29/2021","10.08","10.08","10.08","10.08","0.00%"
"07/28/2021","10.08","10.09","10.09","10.08","-0.10%"
"07/27/2021","10.09","10.09","10.09","10.09","0.00%"
"07/26/2021","10.09","10.09","10.09","10.09","0.10%"
"07/23/2021","10.08","10.08","10.08","10.08","-0.10%"
"07/22/2021","10.09","10.09","10.09","10.09","-2.32%"
"07/21/2021","10.33","10.09","10.33","10.09","-0.10%"
"07/20/2021","10.34","10.09","10.34","10.09","-0.10%"
"07/19/2021","10.35","10.09","10.35","10.09","0.19%"
"07/16/2021","10.33","10.08","10.33","10.08","-0.10%"
"07/15/2021","10.34","10.09","10.34","10.09","-0.10%"
"07/14/2021","10.35","10.09","10.35","10.09","0.10%"
"07/13/2021","10.34","10.09","10.34","10.09","0.00%"
"07/12/2021","10.34","10.09","10.34","10.09","0.10%"
"07/09/2021","10.33","10.08","10.33","10.08","-0.19%"
"07/08/2021","10.35","10.09","10.35","10.09","0.10%"
"07/07/2021","10.34","10.09","10.34","10.09","-0.10%"
"07/06/2021","10.35","10.09","10.35","10.09","0.10%"
"07/05/2021","10.34","10.09","10.34","10.09","-0.10%"
"07/02/2021","10.35","10.09","10.35","10.09","0.10%"
"07/01/2021","10.34","10.09","10.34","10.09","0.00%"
"06/30/2021","10.34","10.09","10.34","10.09","0.00%"
"06/29/2021","10.34","10.09","10.34","10.09","-0.10%"
"06/28/2021","10.35","10.09","10.35","10.09","0.10%"
"06/25/2021","10.34","10.09","10.34","10.09","0.00%"
"06/24/2021","10.34","10.09","10.34","10.09","0.10%"
"06/23/2021","10.33","10.09","10.33","10.09","-0.10%"
"06/22/2021","10.34","10.09","10.34","10.09","0.00%"
"06/21/2021","10.34","10.09","10.34","10.09","-0.58%"
"06/18/2021","10.40","10.09","10.40","10.09","-0.19%"
"06/17/2021","10.42","10.07","10.42","10.07","0.39%"
"06/16/2021","10.38","10.07","10.39","10.07","-0.10%"
"06/15/2021","10.39","10.08","10.39","10.08","0.00%"
"06/14/2021","10.39","10.07","10.39","10.07","0.10%"
"06/11/2021","10.38","10.07","10.38","10.07","0.58%"
"06/10/2021","10.32","10.07","10.32","10.07","-0.10%"
"06/09/2021","10.33","10.08","10.33","10.08","0.00%"
"06/08/2021","10.33","10.08","10.33","10.08","0.10%"
"06/07/2021","10.32","10.08","10.32","10.08","-0.10%"
"06/04/2021","10.33","10.08","10.33","10.08","0.10%"
"06/03/2021","10.32","10.08","10.32","10.08","1.18%"
"06/02/2021","10.20","10.07","10.20","10.07","0.00%"
"06/01/2021","10.20","10.07","10.20","10.07","0.00%"
"05/31/2021","10.20","10.07","10.20","10.07","0.00%"
"05/28/2021","10.20","10.07","10.20","10.07","0.00%"
"05/27/2021","10.20","10.08","10.20","10.08","0.00%"
"05/26/2021","10.20","10.08","10.20","10.08","-1.26%"
"05/25/2021","10.33","10.08","10.33","10.08","0.00%"
"05/24/2021","10.33","10.08","10.33","10.08","0.00%"
"05/21/2021","10.33","10.08","10.33","10.08","-0.10%"
"05/20/2021","10.34","10.08","10.34","10.08","0.10%"
"05/19/2021","10.33","10.08","10.33","10.08","0.00%"
"05/18/2021","10.33","10.08","10.33","10.08","0.00%"
"05/17/2021","10.33","10.08","10.33","10.08","0.00%"
"05/14/2021","10.33","10.09","10.33","10.09","-0.10%"
"05/13/2021","10.34","10.09","10.34","10.09","0.10%"
"05/12/2021","10.33","10.09","10.33","10.09","-0.10%"
"05/11/2021","10.34","10.09","10.34","10.09","0.00%"
"05/10/2021","10.34","10.09","10.34","10.09","0.00%"
"05/07/2021","10.34","10.09","10.34","10.09","0.10%"
"05/06/2021","10.33","10.09","10.33","10.09","-1.34%"
"05/05/2021","10.47","10.09","10.47","10.09","1.36%"
"05/04/2021","10.33","10.09","10.33","10.09","-0.10%"
"05/03/2021","10.34","10.09","10.34","10.09","0.10%"
"04/30/2021","10.33","10.09","10.33","10.09","0.00%"
"04/29/2021","10.33","10.09","10.33","10.09","-0.10%"
"04/28/2021","10.34","10.09","10.34","10.09","0.10%"
"04/27/2021","10.33","10.09","10.33","10.09","0.00%"
"04/26/2021","10.33","10.09","10.33","10.09","0.00%"
"04/23/2021","10.33","10.09","10.33","10.09","0.00%"
"04/22/2021","10.33","10.09","10.33","10.09","0.00%"
"04/21/2021","10.33","10.09","10.33","10.09","-0.10%"
"04/20/2021","10.34","10.09","10.34","10.09","1.17%"
"04/19/2021","10.22","10.10","10.22","10.10","0.10%"
"04/16/2021","10.21","10.09","10.21","10.09","-0.10%"
"04/15/2021","10.22","10.09","10.22","10.09","0.10%"
"04/14/2021","10.21","10.09","10.21","10.09","-0.20%"
"04/13/2021","10.23","10.10","10.23","10.10","0.20%"
"04/12/2021","10.21","10.10","10.21","10.10","-0.10%"
"04/09/2021","10.22","10.10","10.22","10.10","1.19%"
"04/08/2021","10.10","10.10","10.10","10.10","-1.17%"
"04/07/2021","10.22","10.10","10.22","10.10","-0.10%"
"04/06/2021","10.23","10.10","10.23","10.10","-0.10%"
"04/05/2021","10.24","10.10","10.24","10.10","0.29%"
"04/02/2021","10.21","10.10","10.21","10.10","-0.10%"
"04/01/2021","10.22","10.09","10.22","10.09","0.10%"
"03/31/2021","10.21","10.09","10.21","10.09","-0.10%"
"03/30/2021","10.22","10.09","10.22","10.09","1.29%"
"03/29/2021","10.09","10.10","10.10","10.09","0.00%"
"03/26/2021","10.09","10.09","10.09","10.09","0.00%"
"03/25/2021","10.09","10.09","10.09","10.09","0.00%"
"03/24/2021","10.09","10.09","10.09","10.09","0.00%"
"03/23/2021","10.09","9.10","10.09","9.10","0.50%"
"03/22/2021","10.04","9.99","10.04","9.99","7.61%"
"03/19/2021","9.33","9.08","9.33","9.08","0.11%"
"03/18/2021","9.32","9.08","9.32","9.08","-0.21%"
"03/17/2021","9.34","9.08","9.34","9.08","0.11%"
"03/16/2021","9.33","9.09","9.33","9.09","-1.27%"
"03/15/2021","9.45","9.08","9.45","9.08","0.00%"
"03/12/2021","9.45","10.08","10.08","9.45","-5.03%"
"03/11/2021","9.95","10.08","10.08","9.95","-0.10%"
"03/10/2021","9.96","10.08","10.08","9.96","0.00%"
"03/09/2021","9.96","10.08","10.08","9.96","0.20%"
"03/08/2021","9.94","10.07","10.07","9.94","-1.39%"
"03/05/2021","10.08","10.07","10.08","10.07","0.10%"
"03/04/2021","10.07","10.08","10.08","10.07","0.00%"
"03/03/2021","10.07","10.07","10.07","10.07","0.00%"
"03/02/2021","10.07","10.08","10.08","10.07","0.10%"
"03/01/2021","10.06","10.08","10.08","10.06","-0.30%"
"02/26/2021","10.09","10.09","10.09","10.09","1.61%"
"02/25/2021","9.93","10.07","10.07","9.93","-0.10%"
"02/24/2021","9.94","10.07","10.07","9.94","-1.29%"
"02/23/2021","10.07","10.07","10.07","10.07","0.00%"
"02/22/2021","10.07","10.06","10.07","10.06","0.12%"
"02/19/2021","10.06","10.07","10.07","10.06","-0.10%"
"02/18/2021","10.07","10.07","10.07","10.07","-0.10%"
"02/17/2021","10.08","10.08","10.08","10.08","0.10%"
"02/16/2021","10.07","10.07","10.07","10.07","-4.73%"
"02/15/2021","10.57","10.07","10.57","10.07","0.00%"
"02/12/2021","10.57","10.08","10.57","10.08","0.00%"
"02/11/2021","10.57","11.08","11.08","10.57","-4.60%"
"02/10/2021","11.08","11.08","11.08","11.08","0.09%"
"02/09/2021","11.07","11.08","11.08","11.07","0.00%"
"02/08/2021","11.07","11.08","11.08","11.07","-0.63%"
"02/05/2021","11.14","10.58","11.14","10.58","2.30%"
"02/04/2021","10.89","10.58","10.89","10.58","0.09%"
"02/03/2021","10.88","10.58","10.88","10.58","0.00%"
"02/02/2021","10.88","10.58","10.88","10.58","-0.09%"
"02/01/2021","10.89","10.58","10.89","10.58","0.00%"
"01/29/2021","10.89","10.58","10.89","10.58","0.55%"
"01/28/2021","10.83","10.58","10.83","10.58","0.00%"
"01/27/2021","10.83","10.58","10.83","10.58","0.00%"
"01/26/2021","10.83","10.58","10.83","10.58","2.36%"
"01/25/2021","10.58","10.58","10.58","10.58","0.00%"
"01/22/2021","10.58","10.58","10.58","10.58","0.00%"
"01/21/2021","10.58","10.58","10.58","10.58","-1.12%"
"01/20/2021","10.70","10.58","10.70","10.58","-0.09%"
"01/19/2021","10.71","10.58","10.71","10.58","0.09%"
"01/18/2021","10.70","10.59","10.70","10.59","-0.09%"
"01/15/2021","10.71","10.59","10.71","10.59","1.23%"
"01/14/2021","10.58","10.58","10.58","10.58","0.00%"
"01/13/2021","10.58","10.59","10.59","10.58","0.00%"
"01/12/2021","10.58","10.58","10.58","10.58","0.00%"
"01/11/2021","10.58","10.58","10.58","10.58","0.00%"
"01/08/2021","10.58","10.58","10.58","10.58","0.00%"
"01/07/2021","10.58","10.58","10.58","10.58","1.24%"
"01/06/2021","10.45","10.58","10.58","10.45","0.00%"
"01/05/2021","10.45","10.58","10.58","10.45","-0.07%"
"01/04/2021","10.46","10.46","10.46","10.46","0.07%"
"01/01/2021","10.45","10.58","10.58","10.45","0.00%"
"12/31/2020","10.45","10.58","10.58","10.45","0.00%"
"12/30/2020","10.45","10.58","10.58","10.45","-1.14%"
"12/29/2020","10.57","10.58","10.58","10.57","0.00%"
"12/28/2020","10.57","10.58","10.58","10.57","0.00%"
"12/25/2020","10.57","10.58","10.58","10.57","-0.09%"
"12/24/2020","10.58","10.58","10.58","10.58","0.09%"
"12/23/2020","10.57","10.58","10.58","10.57","-0.09%"
"12/22/2020","10.58","10.58","10.58","10.58","0.00%"
"12/21/2020","10.58","10.58","10.58","10.58","1.24%"
"12/18/2020","10.45","10.58","10.58","10.45","0.00%"
"12/17/2020","10.45","10.58","10.58","10.45","0.00%"
"12/16/2020","10.45","10.58","10.58","10.45","-1.14%"
"12/15/2020","10.57","10.58","10.58","10.57","0.00%"
"12/14/2020","10.57","10.58","10.58","10.57","-0.09%"
"12/11/2020","10.58","10.58","10.58","10.58","0.00%"
"12/10/2020","10.58","10.09","10.58","10.09","0.00%"
"12/09/2020","10.58","10.58","10.58","10.58","-2.31%"
"12/08/2020","10.83","10.59","10.83","10.59","2.27%"
"12/07/2020","10.59","10.09","10.59","10.09","2.52%"
"12/04/2020","10.33","10.08","10.33","10.08","0.00%"
"12/03/2020","10.33","10.09","10.33","10.09","0.00%"
"12/02/2020","10.33","10.09","10.33","10.09","0.00%"
"12/01/2020","10.33","10.09","10.33","10.09","-0.10%"
"11/30/2020","10.34","10.10","10.34","10.10","1.17%"
"11/27/2020","10.22","10.10","10.22","10.10","0.00%"
"11/26/2020","10.22","10.10","10.22","10.10","0.00%"
"11/25/2020","10.22","10.10","10.22","10.10","0.00%"
"11/24/2020","10.22","10.10","10.22","10.10","0.00%"
"11/23/2020","10.22","10.10","10.22","10.10","0.00%"
"11/20/2020","10.22","10.10","10.22","10.10","1.19%"
"11/19/2020","10.10","10.10","10.10","10.10","0.00%"
"11/18/2020","10.10","10.10","10.10","10.10","0.00%"
"11/17/2020","10.10","10.10","10.10","10.10","0.00%"
"11/16/2020","10.10","10.10","10.10","10.10","0.00%"
"11/13/2020","10.10","10.11","10.11","10.10","-0.10%"
"11/12/2020","10.11","10.11","10.11","10.11","0.10%"
"11/11/2020","10.10","11.10","11.10","10.10","-7.85%"
"11/10/2020","10.96","11.10","11.10","10.96","0.00%"
"11/09/2020","10.96","11.10","11.10","10.96","-0.09%"
"11/06/2020","10.97","11.10","11.10","10.97","-1.08%"
"11/05/2020","11.09","11.10","11.10","11.09","-0.09%"
"11/04/2020","11.10","11.11","11.11","11.10","0.00%"
"11/03/2020","11.10","11.10","11.10","11.10","0.00%"
"11/02/2020","11.10","11.09","11.10","11.09","0.00%"
"10/30/2020","11.10","11.09","11.10","11.09","0.09%"
"10/29/2020","11.09","11.10","11.10","11.09","-0.63%"
"10/28/2020","11.16","11.10","11.16","11.10","0.00%"
"10/27/2020","11.16","11.10","11.16","11.10","0.00%"
"10/26/2020","11.16","11.10","11.16","11.10","0.00%"
"10/23/2020","11.16","11.10","11.16","11.10","0.00%"
"10/22/2020","11.16","11.10","11.16","11.10","0.00%"
"10/21/2020","11.16","11.10","11.16","11.10","0.54%"
"10/20/2020","11.10","11.10","11.10","11.10","0.00%"
"10/19/2020","11.10","11.10","11.10","11.10","0.00%"
"10/16/2020","11.10","11.10","11.10","11.10","0.00%"
"10/15/2020","11.10","11.10","11.10","11.10","2.30%"
"10/14/2020","10.85","10.10","10.85","10.10","0.00%"
"10/13/2020","10.85","11.10","11.10","10.85","-2.25%"
"10/12/2020","11.10","11.10","11.10","11.10","4.72%"
"10/09/2020","10.60","10.10","10.60","10.10","-3.46%"
"10/08/2020","10.98","10.10","10.98","10.10","0.09%"
"10/07/2020","10.97","10.11","10.97","10.11","-0.09%"
"10/06/2020","10.98","10.11","10.98","10.11","0.09%"
"10/05/2020","10.97","10.10","10.97","10.10","0.00%"
"10/02/2020","10.97","10.10","10.97","10.10","0.00%"
"10/01/2020","10.97","10.10","10.97","10.10","0.00%"
"09/30/2020","10.97","10.10","10.97","10.10","0.00%"
"09/29/2020","10.97","10.10","10.97","10.10","-1.17%"
"09/28/2020","11.10","10.10","11.10","10.10","0.00%"
"09/25/2020","11.10","10.10","11.10","10.10","0.00%"
"09/24/2020","11.10","10.10","11.10","10.10","0.00%"
"09/23/2020","11.10","10.09","11.10","10.09","0.00%"
"09/22/2020","11.10","10.10","11.10","10.10","4.72%"
"09/21/2020","10.60","10.10","10.60","10.10","1.34%"
"09/18/2020","10.46","10.10","10.46","10.10","-0.10%"
"09/17/2020","10.47","10.09","10.47","10.09","0.00%"
