country,date,sentiment_gdelt,sentiment_climatebert,sentiment_std,article_count,pct_positive,pct_negative
Indonesia,2023-06-03,-0.15800387609616118,0.0,0.41051435058408625,27,0.25925925925925924,0.7037037037037037
Indonesia,2023-06-04,-0.1478189941180111,0.0,0.40276847047124514,24,0.3333333333333333,0.5
Indonesia,2023-06-05,0.030801174210567744,0.0,0.43200003422362643,37,0.5675675675675675,0.43243243243243246
Indonesia,2023-06-06,-0.024188099030963413,0.0,0.41917422080349387,38,0.47368421052631576,0.47368421052631576
Indonesia,2023-06-07,-0.0003978971514843112,0.0,0.40486148692619206,39,0.5897435897435898,0.38461538461538464
Indonesia,2023-06-08,-0.09493799734606642,0.0,0.3957628601351746,51,0.35294117647058826,0.5686274509803921
Indonesia,2023-06-09,0.0179316800215379,0.0,0.3784904564134993,45,0.5777777777777777,0.35555555555555557
Indonesia,2023-06-10,0.01765128968808399,0.0,0.506536586943186,28,0.5,0.42857142857142855
Indonesia,2023-06-11,-0.044042026674759274,0.0,0.4469580991608301,23,0.391304347826087,0.6086956521739131
Indonesia,2023-06-12,-0.02692156862918691,0.0,0.37268567408584286,42,0.47619047619047616,0.47619047619047616
Indonesia,2023-06-13,0.07899989173600187,0.0,0.41557338215291323,40,0.55,0.425
Indonesia,2023-06-14,-0.1220136844150495,0.0,0.516185998980189,32,0.40625,0.5625
Indonesia,2023-06-15,0.06028658551487197,0.0,0.3510374487996639,39,0.6666666666666666,0.3333333333333333
Indonesia,2023-06-16,0.10088784804240958,0.0,0.4511504727147666,39,0.48717948717948717,0.4358974358974359
Indonesia,2023-06-17,0.1253265499373581,0.0,0.3419869627464647,20,0.65,0.35
Indonesia,2023-06-18,-0.03035048773592698,0.0,0.3697754728725923,27,0.48148148148148145,0.5185185185185185
Indonesia,2023-06-19,-0.18347041005240963,0.0,0.44055917892627117,44,0.38636363636363635,0.6136363636363636
Indonesia,2023-06-20,0.047236063682513985,0.0,0.4146352453820082,26,0.6538461538461539,0.34615384615384615
Indonesia,2023-06-21,-0.009647596196013948,0.0,0.32298126647341147,34,0.5588235294117647,0.4117647058823529
Indonesia,2023-06-22,-0.007386187666632188,0.0,0.35371651711523217,51,0.45098039215686275,0.49019607843137253
Indonesia,2023-06-23,0.050263277086813905,0.0,0.24304145256533788,30,0.6333333333333333,0.3333333333333333
Indonesia,2023-06-24,-0.05485647483224545,0.0,0.3214163281183642,18,0.6111111111111112,0.3888888888888889
Indonesia,2023-06-25,0.024564632858251507,0.0,0.47877811990110974,21,0.5238095238095238,0.42857142857142855
Indonesia,2023-06-26,-0.08930172634742027,0.0,0.356934879964647,41,0.36585365853658536,0.5853658536585366
Indonesia,2023-06-27,-0.08636498507324014,0.0,0.38271603205382515,51,0.45098039215686275,0.5294117647058824
Indonesia,2023-06-28,-0.1286490785606001,0.0,0.4447749383698831,27,0.4074074074074074,0.5925925925925926
Indonesia,2023-06-29,-0.032022984360712436,0.0,0.43509333631226293,18,0.3888888888888889,0.6111111111111112
Indonesia,2023-06-30,-0.11038282379473134,0.0,0.3839173227002804,19,0.42105263157894735,0.5263157894736842
Indonesia,2023-07-01,-0.1885951407101523,0.0,0.37619135074513926,21,0.2857142857142857,0.6190476190476191
Indonesia,2023-07-02,-0.05635451644995953,0.0,0.44296203058612543,15,0.5333333333333333,0.4666666666666667
Indonesia,2023-07-03,-0.13768561246154626,0.0,0.42648027797366866,40,0.375,0.525
Indonesia,2023-07-04,-0.17499277829695256,0.0,0.43397041206851844,44,0.2727272727272727,0.7272727272727273
Indonesia,2023-07-05,-0.02672016276352909,0.0,0.35844866537318193,34,0.4411764705882353,0.47058823529411764
Indonesia,2023-07-06,-0.008551452091385739,0.0,0.427946097511556,47,0.5531914893617021,0.44680851063829785
Indonesia,2023-07-07,-0.060342330895042325,0.0,0.4457039593917131,27,0.5185185185185185,0.4074074074074074
Indonesia,2023-07-08,-0.04875117020082651,0.0,0.3959050502450959,14,0.42857142857142855,0.5714285714285714
Indonesia,2023-07-09,0.16966539486111304,0.0,0.3954096020046908,16,0.6875,0.25
Indonesia,2023-07-10,-0.07011555999791404,0.0,0.4817839172056485,39,0.4358974358974359,0.5384615384615384
Indonesia,2023-07-11,0.029854230171253496,0.0,0.4275518252811462,48,0.625,0.375
Indonesia,2023-07-12,-0.24271049008681359,0.0,0.4340733882629949,32,0.28125,0.71875
Indonesia,2023-07-13,0.029050937138487252,0.0,0.39936405076277276,37,0.4864864864864865,0.43243243243243246
Indonesia,2023-07-14,-0.05730751032134935,0.0,0.3903691096508745,37,0.43243243243243246,0.5135135135135135
Indonesia,2023-07-15,0.05019615399883591,0.0,0.2275519111544587,18,0.5555555555555556,0.3888888888888889
Indonesia,2023-07-16,0.043244255274325454,0.0,0.37540864820774383,15,0.5333333333333333,0.4
Indonesia,2023-07-17,0.0037677027067787453,0.0,0.3766455926158318,38,0.5,0.47368421052631576
Indonesia,2023-07-18,0.08990550317952692,0.0,0.40928300687302566,43,0.6511627906976745,0.3023255813953488
Indonesia,2023-07-19,-0.01011902812138733,0.0,0.4402414941462613,22,0.45454545454545453,0.5
Indonesia,2023-07-20,-0.04238960791205752,0.0,0.48421322282722473,31,0.45161290322580644,0.5161290322580645
Indonesia,2023-07-21,-0.11768885841908586,0.0,0.3809228037381451,38,0.39473684210526316,0.6052631578947368
Indonesia,2023-07-22,-0.05599475189945139,0.0,0.4824047939097906,14,0.35714285714285715,0.6428571428571429
Indonesia,2023-07-23,0.06609955171859207,0.0,0.35468024630567346,27,0.6666666666666666,0.3333333333333333
Indonesia,2023-07-24,-0.10670042694900035,0.0,0.41909114848380397,44,0.4772727272727273,0.4772727272727273
Indonesia,2023-07-25,0.039160451661364,0.0,0.3849143812483571,52,0.5769230769230769,0.40384615384615385
Indonesia,2023-07-26,-0.05458935310677274,0.0,0.4049629732112045,47,0.46808510638297873,0.5106382978723404
Indonesia,2023-07-27,-0.004351941251440087,0.0,0.4588094132446255,36,0.5833333333333334,0.3888888888888889
Indonesia,2023-07-28,-0.06376467388801246,0.0,0.41610183264384193,38,0.4473684210526316,0.5
Indonesia,2023-07-29,0.026012985359033246,0.0,0.43397080334929533,24,0.5416666666666666,0.375
Indonesia,2023-07-30,-0.05693595066077456,0.0,0.39345726019461236,21,0.42857142857142855,0.5238095238095238
Indonesia,2023-07-31,-0.09466529297284193,0.0,0.40818273598089494,41,0.36585365853658536,0.5853658536585366
Indonesia,2023-08-01,-0.08344867852855918,0.0,0.37405986326840246,38,0.39473684210526316,0.5526315789473685
Indonesia,2023-08-02,-0.10298098724592009,0.0,0.43555998745374147,38,0.42105263157894735,0.5
Indonesia,2023-08-03,-0.10777337180290096,0.0,0.5218711750856581,29,0.4482758620689655,0.5172413793103449
Indonesia,2023-08-04,-0.09614472728905489,0.0,0.4208909906089417,44,0.4318181818181818,0.5
Indonesia,2023-08-05,-0.1797892699246677,0.0,0.4345460108973702,21,0.42857142857142855,0.5238095238095238
Indonesia,2023-08-06,-0.05844827196488161,0.0,0.3861675577918439,27,0.4074074074074074,0.5185185185185185
Indonesia,2023-08-07,-0.17108311772171803,0.0,0.4627067729009059,37,0.4594594594594595,0.5135135135135135
Indonesia,2023-08-08,-0.20029300936024194,0.0,0.40286983024079603,41,0.34146341463414637,0.5853658536585366
Indonesia,2023-08-09,-0.11603809380963287,0.0,0.38677762535249177,48,0.3125,0.6458333333333334
Indonesia,2023-08-10,0.035088689357172756,0.0,0.4754538092023769,45,0.5777777777777777,0.37777777777777777
Indonesia,2023-08-11,-0.04091796510978643,0.0,0.43246589711237515,44,0.4318181818181818,0.5454545454545454
